"%1 (inc. %2 initial fee)","%1 (inc. %2 initial fee)"
"%1 (disabled)","%1 (disabled)"
"%1 of %2 orders","%1 of %2 orders"
"%1 of orig. price","%1 of orig. price"
"%1 orders left","%1 orders left"
"%1 payment","%1 payment"
"%1 payments","%1 payments"
"You can't change the shipping address in the virtual profile.","You can't change the shipping address in the virtual profile."
"Subscription Plan has been successfully changed.","Subscription Plan has been successfully changed."
"Something went wrong while changed the Subscription Plan.","Something went wrong while changed the Subscription Plan."
"Selected plan is used in subscription.","Selected plan is used in subscription."
"Subscription Editing","Subscription Editing"
"Switch To Another Plan","Switch To Another Plan"
"Change Shipping Address","Change Shipping Address"
"Allow Editing Next Payment Date","Allow Editing Next Payment Date"
"Change Next Payment Date","Change Next Payment Date"
"Earliest Next Payment Date, Days","Earliest Next Payment Date, Days"
"Shipping Method For Subscription Orders","Shipping Method For Subscription Orders"
"Set the offset in days. Setting to 0 is not recommended. Set to 1 to allow choosing ""tomorrow""","Set the offset in days. Setting to 0 is not recommended. Set to 1 to allow choosing ""tomorrow"""
"Next Payment Date has been successfully changed.","Next Payment Date has been successfully changed."
"Something went wrong while changed the Next Payment Date.","Something went wrong while changed the Next Payment Date."
"You cannot change the Next Payment Date at the moment.","You cannot change the Next Payment Date at the moment."
"Next Payment Date is incorrect.","Next Payment Date is incorrect."
"Next Payment Date must be in the future.","Next Payment Date must be in the future."
"Allow next payment date editing for membership","Allow next payment date editing for membership"
"Are you sure you want to cancel this subscription?","Are you sure you want to cancel this subscription?"
"Use","Use"
"Config Settings","Config Settings"
"Use value from","Use value from"
"Next Payment date cannot be changed after all payments are done.","Next Payment date cannot be changed after all payments are done."
"Set the offset in days. Setting to 0 is not recommended. Set to 1 to allow choosing ""tomorrow""...","Set the offset in days. Setting to 0 is not recommended. Set to 1 to allow choosing ""tomorrow""..."
"Price Rounding","Price Rounding"
"Change Subscription","Change Subscription"
"Save Subscription","Save Subscription"
"Change Payment Details","Change Payment Details"
"Your payment method has been saved. A temporary charge of up to $1.00 may appear in your transaction history. Please see FAQ for more information.","Your payment method has been saved. A temporary charge of up to $1.00 may appear in your transaction history. Please see FAQ for more information."
"Something went wrong while saving payment.","Something went wrong while saving payment."
"Data is not correct. Payment information is required.","Data is not correct. Payment information is required."
"Card Number:","Card Number:"
"Expiration Date:","Expiration Date:"
"Payment details cannot be changed after all payments are done.","Payment details cannot be changed after all payments are done."
"Sort Order","Sort Order"
"A server error stopped your payment details from being saved.","A server error stopped your payment details from being saved."
